scene,variant_id,role,supernode_id,member_micro_regions,n_micro_regions,n_support,bearing,heading,contains_invalid_descriptor
bellevue_150th_se38th,sensitivity_heading_w7,entry,entry:S04,4;5,2,305,2.40859200175555,-3.06801503457173,False
bellevue_150th_se38th,sensitivity_heading_w7,exit,exit:S00,1;2,2,1288,-2.0605317200808,-2.79541575658268,False
bellevue_150th_se38th,sensitivity_heading_w7,exit,exit:S01,0,1,1194,1.84353165694985,-2.7947164184324,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,entry:S00,0,1,778,-2.37866545384355,-2.74436106999682,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,entry:S01,2,1,369,-1.4366680268086,-2.87461081358183,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,entry:S02,6,1,184,0.0793969655772577,-3.01592990259868,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,entry:S03,1,1,242,1.03330739149219,-1.18368887193517,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,entry:S04,3,1,604,1.50821515053217,0.748583668546979,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,entry:S05,4;5,2,305,2.40859200175555,-3.05688896439837,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,exit,exit:S00,1;2,2,1288,-2.0605317200808,-2.75819897516118,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,exit,exit:S01,0,1,1194,1.84353165694985,-2.78592178072586,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,entry:S00,0;2,2,1147,-2.37866545384355,-2.87461081358183,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,entry:S01,6,1,184,0.0793969655772577,-3.01592990259868,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,entry:S02,1;3,2,846,1.03330739149219,-1.18368887193517,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,entry:S03,4;5,2,305,2.40859200175555,-3.05688896439837,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,exit,exit:S00,1;2,2,1288,-2.0605317200808,-2.75819897516118,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,exit,exit:S01,0,1,1194,1.84353165694985,-2.78592178072586,False
bellevue_ne8th,A5,entry,entry:S00,2,1,1059,-1.57039587966907,0.214398227242663,False
bellevue_ne8th,A5,entry,entry:S01,1,1,1394,-0.0471157713790933,1.1971367069669,False
bellevue_ne8th,A5,entry,entry:S02,3,1,851,1.29807969966102,-3.1046006271426,False
bellevue_ne8th,A5,entry,entry:S03,0,1,2272,2.96451441582228,-2.11978701388204,False
bellevue_ne8th,A5,exit,exit:S00,3,1,1139,-2.35322696026274,1.2774682206398,False
bellevue_ne8th,A5,exit,exit:S01,0,1,1293,-1.57013833392016,2.85440971177635,False
bellevue_ne8th,A5,exit,exit:S02,1,1,2116,0.00985665045594164,-2.45504355459313,False
bellevue_ne8th,A5,exit,exit:S03,2,1,1028,1.99302293931079,-0.351095903523214,False
bellevue_ne8th,A6,entry,entry:S00,2,1,1059,-1.57039587966907,0.214398227242663,False
bellevue_ne8th,A6,entry,entry:S01,1,1,1394,-0.0471157713790933,1.1971367069669,False
bellevue_ne8th,A6,entry,entry:S02,3,1,851,1.29807969966102,-3.1046006271426,False
bellevue_ne8th,A6,entry,entry:S03,0,1,2272,2.96451441582228,-2.11978701388204,False
bellevue_ne8th,A6,exit,exit:S00,3,1,1139,-2.35322696026274,1.2774682206398,False
bellevue_ne8th,A6,exit,exit:S01,0,1,1293,-1.57013833392016,2.85440971177635,False
bellevue_ne8th,A6,exit,exit:S02,1,1,2116,0.00985665045594164,-2.45504355459313,False
bellevue_ne8th,A6,exit,exit:S03,2,1,1028,1.99302293931079,-0.351095903523214,False
bellevue_ne8th,A7,entry,entry:S00,0;1;2;3,4,5576,-0.0471157713790933,-3.1046006271426,False
bellevue_ne8th,A7,exit,exit:S00,3,1,1139,-2.35322696026274,1.2774682206398,False
bellevue_ne8th,A7,exit,exit:S01,0;1,2,3409,-1.57013833392016,-2.45504355459313,False
bellevue_ne8th,A7,exit,exit:S02,2,1,1028,1.99302293931079,-0.351095903523214,False
bellevue_ne8th,A9,entry,entry:S00,2,1,1059,-1.57039587966907,1.96668379639721,False
bellevue_ne8th,A9,entry,entry:S01,1,1,1394,-0.0471157713790933,-3.12083856392861,False
bellevue_ne8th,A9,entry,entry:S02,3,1,851,1.29807969966102,-1.34940356115315,False
bellevue_ne8th,A9,entry,entry:S03,0,1,2272,2.96451441582228,0.321400189955924,False
