scene,variant_id,replicate,bootstrap_seed,emd_seed,sampled_trajectory_count,sampled_recording_count,emd_entry_regions,emd_exit_regions,entry_supernodes,exit_supernodes,support_threshold,smg_target,coverage,invalid_replicate,failure_reason
bellevue_116th_ne12th,A6,56,465716506,1782394804,1024,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,56,465716506,1782394804,1024,4,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,56,465716506,1782394804,1024,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,57,50128351,617639685,710,3,4,4,4,4,0.0025,9,0.998591549295775,False,
bellevue_116th_ne12th,A6,57,50128351,617639685,710,3,4,4,4,4,0.0025,9,0.998591549295775,False,
bellevue_116th_ne12th,A7,57,50128351,617639685,710,3,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,57,50128351,617639685,710,3,4,4,4,4,0.0025,9,0.998591549295775,False,
bellevue_116th_ne12th,A5,58,1338741933,1237083051,1024,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,58,1338741933,1237083051,1024,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,58,1338741933,1237083051,1024,4,4,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,58,1338741933,1237083051,1024,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,59,729800535,945236679,355,3,8,4,5,4,0.0025,11,1,False,
bellevue_116th_ne12th,A6,59,729800535,945236679,355,3,8,4,5,4,0.0025,11,1,False,
bellevue_116th_ne12th,A7,59,729800535,945236679,355,3,8,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,59,729800535,945236679,355,3,8,4,5,4,0.0025,11,1,False,
bellevue_116th_ne12th,A5,60,1764199573,1376640443,989,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,60,1764199573,1376640443,989,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,60,1764199573,1376640443,989,4,4,4,1,1,0.005,1,1,False,
bellevue_116th_ne12th,A9,60,1764199573,1376640443,989,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,61,243762022,233919779,755,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,61,243762022,233919779,755,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,61,243762022,233919779,755,4,4,4,1,1,0.005,1,1,False,
bellevue_116th_ne12th,A9,61,243762022,233919779,755,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,62,1917660164,376291059,723,5,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,62,1917660164,376291059,723,5,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,62,1917660164,376291059,723,5,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,62,1917660164,376291059,723,5,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,63,2049168510,606595280,691,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,63,2049168510,606595280,691,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,63,2049168510,606595280,691,4,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,63,2049168510,606595280,691,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,64,1877345262,1442586593,1443,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,64,1877345262,1442586593,1443,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,64,1877345262,1442586593,1443,3,4,4,2,1,0.005,2,1,False,
