scene,variant_id,role,left_micro_region,right_micro_region,bearing_separation,heading_separation,combined_bearing_radius,combined_heading_radius,bearing_ratio,heading_ratio,primary_distance,compatible,od_profile_js_distance_diagnostic
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,0,1,3.12886569723698,2.57717812583212,0.621571011699088,3.86588755326291,5.03380247525396,0.666645909981762,5.03380247525396,False,0.98429192685594
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,0,2,1.46498086849152,1.76411606748922,0.56731794780283,3.77119209007182,2.58229247667071,0.46778738005245,2.58229247667071,False,0.754345479581908
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,0,3,1.61395179190446,0.965399487060342,0.547374166641909,4.35587122766217,2.94853482363976,0.221631778490036,2.94853482363976,False,0.933487303581228
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,1,2,1.66388482874546,1.94189111385825,0.987007331964955,4.00320199229695,1.68578770882376,0.48508446928106,1.68578770882376,False,0.885140498822609
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,1,3,1.54036781803815,1.61177863877178,0.967063550804034,4.58788112988731,1.59282998181191,0.351312205600098,1.59282998181191,False,0.615184239205354
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,2,3,3.07893266039597,2.72951555454956,0.912810486907776,4.49318566669622,3.37302507426938,0.607478915189485,3.37302507426938,False,0.918181875091132
bellevue_150th_newport,A5,entry,0,1,2.90427073712163,2.44451610145001,0.830595124340748,3.31393409337238,3.49661423720345,0.737647772277324,3.49661423720345,False,0.922496623170868
bellevue_150th_newport,A5,entry,0,2,2.65442298226042,2.26744664799885,1.61582396703124,5.19416505718463,1.64276742790082,0.436537272696502,1.64276742790082,False,0.68047596714766
bellevue_150th_newport,A5,entry,0,3,1.90076789548672,0.579240130197518,0.852601548572301,5.28810055401337,2.22937420025755,0.109536519640858,2.22937420025755,False,0.608178292231664
bellevue_150th_newport,A5,entry,1,2,0.724491587797539,1.57122255773072,1.23470706159613,3.76998408665657,0.586772045233933,0.416771668424779,0.586772045233933,True,0.516605795154474
bellevue_150th_newport,A5,entry,1,3,1.00350284163491,1.86527597125249,0.471484643137187,3.86391958348531,2.12838924075608,0.482741923311454,2.12838924075608,False,0.926552592133847
bellevue_150th_newport,A5,entry,2,3,1.72799442943245,2.84668677819637,1.25671348582768,5.74415054729756,1.37501065192627,0.495580113152787,1.37501065192627,False,0.876487653898677
bellevue_150th_newport,A5,exit,0,1,1.74692559205492,1.24485136670776,0.211862162716568,3.74568246125558,8.24557613145854,0.332343005469416,8.24557613145854,False,0.906254816675629
bellevue_150th_newport,A5,exit,0,2,1.55626662465313,0.800111868517388,0.285949115111191,1.60706697789049,5.44246001267734,0.497870891210554,5.44246001267734,False,0.39842940657623
bellevue_150th_newport,A5,exit,0,3,2.57375270163455,2.38256699564436,0.172876135267953,3.02464693623751,14.8878426605576,0.78771739177206,14.8878426605576,False,0.923566849363901
bellevue_150th_newport,A5,exit,1,2,2.97999309047154,2.04496323522515,0.276861326848943,2.56646665871764,10.7634862708631,0.79680101367338,10.7634862708631,False,0.868215483843449
bellevue_150th_newport,A5,exit,1,3,0.826827109579636,1.1377156289366,0.163788347005705,3.98404661706466,5.04814368479363,0.285567850552623,5.04814368479363,False,0.547582102657121
bellevue_150th_newport,A5,exit,2,3,2.15316598089191,3.10050644301784,0.237875299400328,1.84543113369957,9.05165852158644,1.6800986969382,9.05165852158644,False,0.811305554259778
bellevue_150th_newport,A6,entry,0,1,2.90427073712163,2.44451610145001,0.830595124340748,3.31393409337238,3.49661423720345,0.737647772277324,3.49661423720345,False,0.922496623170868
bellevue_150th_newport,A6,entry,0,2,2.65442298226042,2.26744664799885,1.61582396703124,5.19416505718463,1.64276742790082,0.436537272696502,1.64276742790082,False,0.68047596714766
bellevue_150th_newport,A6,entry,0,3,1.90076789548672,0.579240130197518,0.852601548572301,5.28810055401337,2.22937420025755,0.109536519640858,2.22937420025755,False,0.608178292231664
bellevue_150th_newport,A6,entry,1,2,0.724491587797539,1.57122255773072,1.23470706159613,3.76998408665657,0.586772045233933,0.416771668424779,0.586772045233933,True,0.516605795154474
bellevue_150th_newport,A6,entry,1,3,1.00350284163491,1.86527597125249,0.471484643137187,3.86391958348531,2.12838924075608,0.482741923311454,2.12838924075608,False,0.926552592133847
