weight_id,family,T,O,B,S,D
local_0274,local,0.4,0.35000000000000003,0.1,0.1,0.05
local_0275,local,0.4,0.35000000000000003,0.15000000000000002,0.05,0.05
local_0276,local,0.45,0.1,0.05,0.15000000000000002,0.25
local_0277,local,0.45,0.1,0.05,0.2,0.2
local_0278,local,0.45,0.1,0.05,0.25,0.15000000000000002
local_0279,local,0.45,0.1,0.1,0.1,0.25
local_0280,local,0.45,0.1,0.1,0.15000000000000002,0.2
local_0281,local,0.45,0.1,0.1,0.2,0.15000000000000002
local_0282,local,0.45,0.1,0.1,0.25,0.1
local_0283,local,0.45,0.1,0.15000000000000002,0.05,0.25
local_0284,local,0.45,0.1,0.15000000000000002,0.1,0.2
local_0285,local,0.45,0.1,0.15000000000000002,0.15000000000000002,0.15000000000000002
local_0286,local,0.45,0.1,0.15000000000000002,0.2,0.1
local_0287,local,0.45,0.1,0.15000000000000002,0.25,0.05
local_0288,local,0.45,0.1,0.2,0.05,0.2
local_0289,local,0.45,0.1,0.2,0.1,0.15000000000000002
local_0290,local,0.45,0.1,0.2,0.15000000000000002,0.1
local_0291,local,0.45,0.1,0.2,0.2,0.05
local_0292,local,0.45,0.1,0.25,0.05,0.15000000000000002
local_0293,local,0.45,0.1,0.25,0.1,0.1
local_0294,local,0.45,0.1,0.25,0.15000000000000002,0.05
local_0295,local,0.45,0.15000000000000002,0.05,0.1,0.25
local_0296,local,0.45,0.15000000000000002,0.05,0.15000000000000002,0.2
local_0297,local,0.45,0.15000000000000002,0.05,0.2,0.15000000000000002
local_0298,local,0.45,0.15000000000000002,0.05,0.25,0.1
local_0299,local,0.45,0.15000000000000002,0.1,0.05,0.25
local_0300,local,0.45,0.15000000000000002,0.1,0.1,0.2
local_0301,local,0.45,0.15000000000000002,0.1,0.15000000000000002,0.15000000000000002
local_0302,local,0.45,0.15000000000000002,0.1,0.2,0.1
local_0303,local,0.45,0.15000000000000002,0.1,0.25,0.05
local_0304,local,0.45,0.15000000000000002,0.15000000000000002,0.05,0.2
local_0305,local,0.45,0.15000000000000002,0.15000000000000002,0.1,0.15000000000000002
local_0306,local,0.45,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.1
local_0307,local,0.45,0.15000000000000002,0.15000000000000002,0.2,0.05
local_0308,local,0.45,0.15000000000000002,0.2,0.05,0.15000000000000002
local_0309,local,0.45,0.15000000000000002,0.2,0.1,0.1
local_0310,local,0.45,0.15000000000000002,0.2,0.15000000000000002,0.05
local_0311,local,0.45,0.15000000000000002,0.25,0.05,0.1
local_0312,local,0.45,0.15000000000000002,0.25,0.1,0.05
local_0313,local,0.45,0.2,0.05,0.05,0.25
local_0314,local,0.45,0.2,0.05,0.1,0.2
local_0315,local,0.45,0.2,0.05,0.15000000000000002,0.15000000000000002
local_0316,local,0.45,0.2,0.05,0.2,0.1
local_0317,local,0.45,0.2,0.05,0.25,0.05
local_0318,local,0.45,0.2,0.1,0.05,0.2
local_0319,local,0.45,0.2,0.1,0.1,0.15000000000000002
local_0320,local,0.45,0.2,0.1,0.15000000000000002,0.1
local_0321,local,0.45,0.2,0.1,0.2,0.05
local_0322,local,0.45,0.2,0.15000000000000002,0.05,0.15000000000000002
local_0323,local,0.45,0.2,0.15000000000000002,0.1,0.1
local_0324,local,0.45,0.2,0.15000000000000002,0.15000000000000002,0.05
local_0325,local,0.45,0.2,0.2,0.05,0.1
local_0326,local,0.45,0.2,0.2,0.1,0.05
local_0327,local,0.45,0.2,0.25,0.05,0.05
local_0328,local,0.45,0.25,0.05,0.05,0.2
local_0329,local,0.45,0.25,0.05,0.1,0.15000000000000002
local_0330,local,0.45,0.25,0.05,0.15000000000000002,0.1
local_0331,local,0.45,0.25,0.05,0.2,0.05
local_0332,local,0.45,0.25,0.1,0.05,0.15000000000000002
local_0333,local,0.45,0.25,0.1,0.1,0.1
local_0334,local,0.45,0.25,0.1,0.15000000000000002,0.05
local_0335,local,0.45,0.25,0.15000000000000002,0.05,0.1
local_0336,local,0.45,0.25,0.15000000000000002,0.1,0.05
local_0337,local,0.45,0.25,0.2,0.05,0.05
local_0338,local,0.45,0.30000000000000004,0.05,0.05,0.15000000000000002
local_0339,local,0.45,0.30000000000000004,0.05,0.1,0.1
local_0340,local,0.45,0.30000000000000004,0.05,0.15000000000000002,0.05
local_0341,local,0.45,0.30000000000000004,0.1,0.05,0.1
local_0342,local,0.45,0.30000000000000004,0.1,0.1,0.05
local_0343,local,0.45,0.30000000000000004,0.15000000000000002,0.05,0.05
local_0344,local,0.45,0.35000000000000003,0.05,0.05,0.1
local_0345,local,0.45,0.35000000000000003,0.05,0.1,0.05
local_0346,local,0.45,0.35000000000000003,0.1,0.05,0.05
local_0347,local,0.5,0.1,0.05,0.1,0.25
local_0348,local,0.5,0.1,0.05,0.15000000000000002,0.2
local_0349,local,0.5,0.1,0.05,0.2,0.15000000000000002
local_0350,local,0.5,0.1,0.05,0.25,0.1
local_0351,local,0.5,0.1,0.1,0.05,0.25
local_0352,local,0.5,0.1,0.1,0.1,0.2
local_0353,local,0.5,0.1,0.1,0.15000000000000002,0.15000000000000002
local_0354,local,0.5,0.1,0.1,0.2,0.1
local_0355,local,0.5,0.1,0.1,0.25,0.05
local_0356,local,0.5,0.1,0.15000000000000002,0.05,0.2
local_0357,local,0.5,0.1,0.15000000000000002,0.1,0.15000000000000002
local_0358,local,0.5,0.1,0.15000000000000002,0.15000000000000002,0.1
local_0359,local,0.5,0.1,0.15000000000000002,0.2,0.05
local_0360,local,0.5,0.1,0.2,0.05,0.15000000000000002
local_0361,local,0.5,0.1,0.2,0.1,0.1
local_0362,local,0.5,0.1,0.2,0.15000000000000002,0.05
local_0363,local,0.5,0.1,0.25,0.05,0.1
local_0364,local,0.5,0.1,0.25,0.1,0.05
local_0365,local,0.5,0.15000000000000002,0.05,0.05,0.25
local_0366,local,0.5,0.15000000000000002,0.05,0.1,0.2
local_0367,local,0.5,0.15000000000000002,0.05,0.15000000000000002,0.15000000000000002
local_0368,local,0.5,0.15000000000000002,0.05,0.2,0.1
local_0369,local,0.5,0.15000000000000002,0.05,0.25,0.05
local_0370,local,0.5,0.15000000000000002,0.1,0.05,0.2
local_0371,local,0.5,0.15000000000000002,0.1,0.1,0.15000000000000002
local_0372,local,0.5,0.15000000000000002,0.1,0.15000000000000002,0.1
local_0373,local,0.5,0.15000000000000002,0.1,0.2,0.05
local_0374,local,0.5,0.15000000000000002,0.15000000000000002,0.05,0.15000000000000002
local_0375,local,0.5,0.15000000000000002,0.15000000000000002,0.1,0.1
local_0376,local,0.5,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.05
local_0377,local,0.5,0.15000000000000002,0.2,0.05,0.1
local_0378,local,0.5,0.15000000000000002,0.2,0.1,0.05
local_0379,local,0.5,0.15000000000000002,0.25,0.05,0.05
local_0380,local,0.5,0.2,0.05,0.05,0.2
local_0381,local,0.5,0.2,0.05,0.1,0.15000000000000002
local_0382,local,0.5,0.2,0.05,0.15000000000000002,0.1
local_0383,local,0.5,0.2,0.05,0.2,0.05
local_0384,local,0.5,0.2,0.1,0.05,0.15000000000000002
local_0385,local,0.5,0.2,0.1,0.1,0.1
local_0386,local,0.5,0.2,0.1,0.15000000000000002,0.05
local_0387,local,0.5,0.2,0.15000000000000002,0.05,0.1
local_0388,local,0.5,0.2,0.15000000000000002,0.1,0.05
local_0389,local,0.5,0.2,0.2,0.05,0.05
local_0390,local,0.5,0.25,0.05,0.05,0.15000000000000002
local_0391,local,0.5,0.25,0.05,0.1,0.1
local_0392,local,0.5,0.25,0.05,0.15000000000000002,0.05
local_0393,local,0.5,0.25,0.1,0.05,0.1
local_0394,local,0.5,0.25,0.1,0.1,0.05
