source,source_row,scene,method,selection_strategy,trial_index,expected_target,cluster_count_error,pct_outliers,largest_cluster_ratio,silhouette_clustered_only,davies_bouldin_clustered_only,T,O,B,S,D,stored_EMAS_HG,recomputed_EMAS_HG,absolute_difference,tolerance,within_tolerance
development_candidates,200,bellevue_150th_se38th,optics,,13.0,18,15,84.57242582897034,0.3846153846153846,0.6786255261951276,0.4174594536059657,0.16666666666666663,0.15427574171029657,0.6153846153846154,0.8393127630975639,0.7054875520114781,0.3302069747247583,0.33020697472475835,5.551115123125783e-17,1e-12,True
development_candidates,201,bellevue_150th_se38th,optics,,14.0,18,15,33.22862129144852,0.3904861474124412,0.931674299852372,0.0974241415907273,0.16666666666666663,0.6677137870855148,0.6095138525875587,0.965837149926186,0.9112247144030292,0.4655336624421136,0.46553366244211364,5.551115123125783e-17,1e-12,True
development_candidates,202,bellevue_150th_se38th,optics,,15.0,18,15,28.411867364746943,0.3768893222818137,0.9248175126823294,0.1057961101983706,0.16666666666666663,0.7158813263525305,0.6231106777181863,0.9624087563411647,0.9043258434148482,0.4754941263512593,0.47549412635125937,5.551115123125783e-17,1e-12,True
development_candidates,203,bellevue_150th_se38th,optics,,16.0,18,12,11.239092495636998,0.3094769956744003,0.8697090074410915,0.1742680861702542,0.33333333333333337,0.8876090750436301,0.6905230043255997,0.9348545037205458,0.8515942924595606,0.5918856617259634,0.5918856617259634,0.0,1e-12,True
development_candidates,204,bellevue_ne8th,kmeans,,1.0,9,7,0.0,0.5420028476506882,0.5518007983016237,0.8371295896588385,0.2222222222222222,1.0,0.4579971523493118,0.7759003991508118,0.5443274146957175,0.4889336077306953,0.4889336077306953,0.0,1e-12,True
development_candidates,205,bellevue_ne8th,kmeans,,2.0,9,6,0.0,0.438063597532036,0.6250478867358775,0.6041198191503511,0.33333333333333337,1.0,0.5619364024679641,0.8125239433679388,0.6233948287788544,0.5664521841281425,0.5664521841281425,0.0,1e-12,True
development_candidates,206,bellevue_ne8th,kmeans,,3.0,9,5,0.0,0.2988451194431261,0.7299498869229283,0.4235662461372845,0.4444444444444444,1.0,0.7011548805568739,0.8649749434614642,0.7024611623894621,0.6490813208630022,0.6490813208630022,0.0,1e-12,True
development_candidates,207,bellevue_ne8th,kmeans,,4.0,9,4,0.0,0.2988451194431261,0.7643357086348036,0.3221182181786863,0.5555555555555556,1.0,0.7011548805568739,0.8821678543174019,0.7563620153253561,0.711746252797741,0.711746252797741,0.0,1e-12,True
development_candidates,208,bellevue_ne8th,kmeans,,5.0,9,3,0.0,0.2562885619364025,0.7814203301435885,0.2846925829620974,0.6666666666666667,1.0,0.7437114380635975,0.8907101650717942,0.7783963364171639,0.7746151272885891,0.7746151272885891,0.0,1e-12,True
development_candidates,209,bellevue_ne8th,kmeans,,6.0,9,2,0.0,0.2363550071191267,0.8085617891417595,0.2957069573527238,0.7777777777777778,1.0,0.7636449928808733,0.9042808945708798,0.7717794477565463,0.8328594224097189,0.8328594224097189,0.0,1e-12,True
development_candidates,210,bellevue_ne8th,kmeans,,7.0,9,1,0.0,0.2363550071191267,0.8234680878183831,0.2270819687225489,0.8888888888888888,1.0,0.7636449928808733,0.9117340439091915,0.8149414835270116,0.893476496476152,0.893476496476152,0.0,1e-12,True
development_candidates,211,bellevue_ne8th,kmeans,,8.0,9,0,0.0,0.2363550071191267,0.8305133250530503,0.2151128395716973,1.0,1.0,0.7636449928808733,0.9152566625265252,0.8229688366658029,0.95018704920732,0.9501870492073201,1.1102230246251565e-16,1e-12,True
development_candidates,212,bellevue_ne8th,kmeans,,9.0,9,1,0.0,0.2363550071191267,0.8359066000568947,0.2042397155352023,0.8888888888888888,1.0,0.7636449928808733,0.9179533000284473,0.8303994521186908,0.8956442189472456,0.8956442189472456,0.0,1e-12,True
development_candidates,213,bellevue_ne8th,kmeans,,10.0,9,2,0.0,0.2161050466698307,0.8033674979675779,0.25351712503687,0.7777777777777778,1.0,0.7838949533301693,0.901683748983789,0.7977553557320461,0.8372222946934894,0.8372222946934894,0.0,1e-12,True
development_candidates,214,bellevue_ne8th,kmeans,,11.0,9,3,0.0,0.2161050466698307,0.7664650422363349,0.3408453466944328,0.6666666666666667,1.0,0.7838949533301693,0.8832325211181675,0.7457981656611524,0.7746258973442824,0.7746258973442824,0.0,1e-12,True
development_candidates,215,bellevue_ne8th,kmeans,,12.0,9,4,0.0,0.1699098243948742,0.6822048218861069,0.4386334906252961,0.5555555555555556,1.0,0.8300901756051258,0.8411024109430534,0.6951040737730595,0.7144074438099016,0.7144074438099016,0.0,1e-12,True
development_candidates,216,bellevue_ne8th,kmeans,,13.0,9,5,0.0,0.1692770131308337,0.6298739655332262,0.556806039814064,0.4444444444444444,1.0,0.8307229868691663,0.8149369827666131,0.6423407761954947,0.6510222968053496,0.6510222968053496,0.0,1e-12,True
development_candidates,217,bellevue_ne8th,kmeans,,14.0,9,6,0.0,0.1642145230185097,0.6277072670147199,0.5154669370402672,0.33333333333333337,1.0,0.8357854769814903,0.81385363350736,0.6598626308225616,0.597616840797808,0.597616840797808,0.0,1e-12,True
development_candidates,218,bellevue_ne8th,kmeans,,15.0,9,7,0.0,0.1642145230185097,0.6234411544890681,0.5137719773622855,0.2222222222222222,1.0,0.8357854769814903,0.8117205772445341,0.6606014743002959,0.5419218639637432,0.5419218639637432,0.0,1e-12,True
